상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,행정동코드,법정동코드,지번주소,도로명주소,신우편번호,경도,위도
비지에프리테일서귀서홍로점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,서홍동,서홍동,5013058000,5013010600,제주특별자치도 서귀포시 서홍동 259-5,제주특별자치도 서귀포시 중산간동로 8048-2,63578,126.5569788,33.26432128
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,조천읍,조천읍,5011025900,5011025924,제주특별자치도 제주시 조천읍 함덕리 1004-30,제주특별자치도 제주시 조천읍 조함해안로 530,63333,126.6695576,33.54246079
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,이도2동,이도이동,5011054000,5011010400,제주특별자치도 제주시 이도이동 1049-6,제주특별자치도 제주시 고산동산5길 35,63211,126.5360898,33.49733666
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,이도2동,이도이동,5011054000,5011010400,제주특별자치도 제주시 이도이동 1025-8,제주특별자치도 제주시 중앙로 304,63222,126.5343893,33.49352093
GS25,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,중앙동,서귀동,5013053000,5013010100,제주특별자치도 서귀포시 서귀동 286-18,제주특별자치도 서귀포시 중정로91번길 46,63591,126.5625908,33.25127685
탐라운전,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,오라동,오라이동,5011064000,5011012000,제주특별자치도 제주시 오라이동 1998-1,제주특별자치도 제주시 연사길 74-18,63145,126.5093387,33.48976906
비지에프리테일영어교육도시점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,대정읍,대정읍,5013025000,5013025029,제주특별자치도 서귀포시 대정읍 보성리 2374-1,제주특별자치도 서귀포시 대정읍 에듀시티로 48,63644,126.283812,33.29085451
비지에프리테일서귀외돌개점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,천지동,서홍동,5013054000,5013010600,제주특별자치도 서귀포시 서홍동 643,제주특별자치도 서귀포시 남성중로 131,63594,126.5547935,33.24386538
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,효돈동,신효동,5013055000,5013010900,제주특별자치도 서귀포시 신효동 845,제주특별자치도 서귀포시 신효로 26-1,63606,126.6139236,33.26303971
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,화북동,화북일동,5011060000,5011011100,제주특별자치도 제주시 화북일동 10-1,제주특별자치도 제주시 동화로1길 11,63302,126.5754048,33.52066803
비지에프리테일서귀최남단해안로점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,대정읍,대정읍,5013025000,5013025022,제주특별자치도 서귀포시 대정읍 하모리 645-17,제주특별자치도 서귀포시 대정읍 최남단해안로125번길 3,63513,126.2570878,33.21165923
달마휴게소,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,성산읍,성산읍,5013025900,5013025925,제주특별자치도 서귀포시 성산읍 수산리 3271,제주특별자치도 서귀포시 성산읍 서성일로 637,63631,126.8525272,33.42689151
어촌계휴게편의점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,한경면,한경면,5011031000,5011031022,제주특별자치도 제주시 한경면 용수리 4240,제주특별자치도 제주시 한경면 한경해안로 156,63009,126.1660765,33.32397193
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,대정읍,대정읍,5013025000,5013025022,제주특별자치도 서귀포시 대정읍 하모리 918-1,제주특별자치도 서귀포시 대정읍 하모상가로 45-1,63508,126.2537099,33.22188968
평화슈퍼코사마트,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,남원읍,남원읍,5013025300,5013025321,제주특별자치도 서귀포시 남원읍 남원리 100-4,제주특별자치도 서귀포시 남원읍 태위로 683,63621,126.7194744,33.2793461
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,노형동,노형동,5011066000,5011012200,제주특별자치도 제주시 노형동 1534,제주특별자치도 제주시 한라대학로 38,63092,126.4742119,33.4766294
비지에프리테일서귀남원태위로점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,남원읍,남원읍,5013025300,5013025321,제주특별자치도 서귀포시 남원읍 남원리 209-1,제주특별자치도 서귀포시 남원읍 태위로 703,63621,126.7216025,33.27989997
세븐일레븐,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,이호동,이호일동,5011068000,5011012500,제주특별자치도 제주시 이호일동 753-7,제주특별자치도 제주시 일주서로 7589,63108,126.4576063,33.49576238
비지에프리테일제주월정모살점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,구좌읍,구좌읍,5011025600,5011025626,제주특별자치도 제주시 구좌읍 월정리 541,제주특별자치도 제주시 구좌읍 월정7길 62-1,63358,126.7956926,33.55559896
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,동홍동,동홍동,5013057000,5013010500,제주특별자치도 서귀포시 동홍동 535-3,제주특별자치도 서귀포시 동홍로99번길 9,63585,126.5676537,33.25732198
CU제주아라초교점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,아라동,아라일동,5011063000,5011011700,제주특별자치도 제주시 아라일동 6100-3,제주특별자치도 제주시 중앙로 530,63237,126.5445317,33.47579826
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,대천동,강정동,5013060000,5013011600,제주특별자치도 서귀포시 강정동 132,제주특별자치도 서귀포시 신북로 39,63565,126.5101253,33.25842213
세븐일레븐서귀포토산로점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,표선면,표선면,5013032000,5013032026,제주특별자치도 서귀포시 표선면 토산리 439-7,제주특별자치도 서귀포시 표선면 일주동로 6470,63626,126.7805897,33.30763195
CU,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,구좌읍,구좌읍,5011025600,5011025625,제주특별자치도 제주시 구좌읍 송당리 1398-4,제주특별자치도 제주시 구좌읍 중산간동로 2293,63355,126.787728,33.47040932
세븐일레븐제주월정해안로점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,구좌읍,구좌읍,5011025600,5011025627,제주특별자치도 제주시 구좌읍 행원리 1537-3,제주특별자치도 제주시 구좌읍 행원로1길 33,63358,126.7997304,33.55485378
CU제주이호행운점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,제주시,이호동,이호일동,5011068000,5011012500,제주특별자치도 제주시 이호일동 1923-1,제주특별자치도 제주시 일주서로 7525,63111,126.4504508,33.49514118
CU서귀호근로점,소매,종합소매점,편의점,체인화 편의점,제주특별자치도,서귀포시,대륜동,호근동,5013059000,5013010400,제주특별자치도 서귀포시 호근동 2004,제주특별자치도 서귀포시 중산간동로 8351,63569,126.5246328,33.26106552
